platform,komentar,timestamp
youtube,"Sumpah aku datang kesini cuma dislike doang tanpa ku tonton videonya, ya buat apa ditonton kalau udah tau hasilnya kosong. Respect pak wapres 🫡",2025-05-01 19:19:19
youtube,"Semoga kita semua menjadi orang yg baik, semangat terus pak Gibran, yg paling saya sukai dari beliau ketika menjadi wali kota Solo beliau suka berbagi kepada para kaum dhuafa', karena itu adalah teladan dari orang2 yang sholeh yg dicontohkan oleh Rasulullah SAW.",2025-05-01 19:19:19
youtube,"""Bonus demografi itu peluang, bukan jaminan.”
Iya, betul. Tapi yang ngomong kayak gini duduknya empuk, kerjanya warisan, dan dompetnya… ya Allah, tebelnya kayak skripsi yang gak dikumpul-kumpulin.

Kita nih, rakyat kecil, dikasih wejangan tentang produktivitas, disuruh manfaatin usia emas, sambil nonton video anak pejabat yang dicarikan kerjaan sebelum dia sempat nulis CV.

Gibran bicara soal bonus demografi?  
“Wah, keren banget! Muda, visioner, melek data.”
Padahal yang ngangkat dia ke panggung itu bukan kerja keras doang, tapi juga tangga lipat merek “Bapakku Mantan Presiden”.

Kita? Disuruh lomba jadi produktif di tengah lapangan yang miring.

Lo bayangin, kita disuruh lari sprint… dia naik eskalator, terus bilang: “Kok kalian lama banget sih nyampe finish?”

Dan parahnya lagi, ketika lo protes, lo dibilang iri dan gak bersyukur.  
Padahal lo cuma minta kompetisi yang adil, bukan ikut-ikutan minta kerjaan dari bokap.",2025-05-01 19:19:19
youtube,"Tidak usah membicarakan, membuka atau menimbulkan lapangan pekerjaan, di belahan dunia sana ada seorang anak yang di carikan kerja oleh bapak nya",2025-05-01 19:19:19
youtube,"Generasi muda tetbaik, adalah editor video ini, sabarnya udah beda level",2025-05-01 19:19:19
youtube,"Bagaimana mungkin anak muda indonesia akan terinsfirasi dari sosok wapres ini, semua rakyat tau bagaimana cara beliau menuju wapres.  Apakah itu panutan yg harus jadi infsirasi bagi pemuda indonesia?",2025-05-01 19:19:19
youtube,"Buanyak banget yg ga suka tapi kok bisa menang pemilihan, sakti bapakmu",2025-05-01 19:19:19
youtube,"Guys yakinlah, semenjak dia dilantik kita semua udah tamat..",2025-05-01 19:19:19
youtube,"Yuk ngumpul, yg setuju Gibran di undang di Podcast2 untuk menjabarkan lebih detail tentang ""Bonus Demografi"" ini, biar kelihatan beneran faham apa g' dengan yg dia omongin.",2025-05-01 19:19:19
youtube,Mantap Pak Gibran. Semoga kelak Pak Gibran terpilih menjadi Presiden Suriname..,2025-05-01 19:19:19
